tstamp	bike	bikeCity	active	repair	missed	comments	description	bc_serial	real_battery	last_communication	last_communication_sim	last_communication_reason	last_rental_changed	last_rental	place_name	lat	lng	lastLat	lastLng	accuracy	location_type
2025-11-15 11:03	410074	408	0	1	0	"no suelta bateria y no hace buena conexión con ésta "	"pendiente que se agote la bateria para que se reinicie la patineta,no es posible soltar ni bateria ni ordenador"	10000136780	3552	"2025-03-22 08:56:11"	"2025-03-22 08:56:11"	"HEARTBEAT"	1734644719	1734644719	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-10-21 12:34	410073	408	0	1	0	""	""	10000209478	3552	"2025-06-06 12:10:12"	"2025-06-06 12:10:12"	"HEARTBEAT"	1745159805	1745159805	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-04-28 14:54	410072	408	0	0	0	"11/12/2023: Patineta desaparecida en San José durante alquiler de usuario 326246540."	""	10000131095		"2025-02-25 17:01:22"			1702392047	1702392047	"Gestohlen"	0	0				
2025-11-15 11:03	410071	408	0	1	0	"no suelta bateria"	""	10000138004	3552	"2025-02-27 10:18:30"	"2025-02-27 10:18:30"	"HEARTBEAT"	1735306663	1735306663	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-11-15 11:03	410070	408	0	1	0	"solo funciona luz y pita"	""	10000133723	3712	"2025-03-14 00:53:32"	"2025-03-14 00:53:32"	"HEARTBEAT"	1722263833	1722263833	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-10-21 12:34	410069	408	0	1	0	""	""	10000133158	3552	"2025-05-27 13:07:42"	"2025-05-27 13:07:42"	"HEARTBEAT"	1745311266	1745311266	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-11-15 11:03	410068	408	0	1	0	"Error code 25E    - 25E: No ECU heartbeat data received for more than 5 minutes.     1. Check if the ECU cable is loose.    2. Replace the ECU"	""	10000130719	3552	"2025-02-28 10:48:44"	"2025-02-28 10:48:44"	"HEARTBEAT"	1699972840	1699972840	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-11-15 11:03	410067	408	0	1	0	""	"leds laterales y holguras en manillar "	10000155221	3568	"2025-03-13 01:43:52"	"2025-03-13 01:43:52"	"HEARTBEAT"	1708450013	1708450013	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-11-15 11:03	410066	408	0	1	0	"motor de agarre de bateria hace ruido,probado ordenador parte baja,caja negra pequeña y motor de agarre de bateria"	""	10000155980	3552	"2025-02-27 12:49:39"	"2025-02-27 12:49:39"	"HEARTBEAT"	1729625434	1729625434	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-11-15 11:03	410065	408	0	0	0	"maneta izquierda "	"error varios en pantalla"	10000148354	3552	"2025-02-28 20:34:20"	"2025-02-28 20:34:20"	"HEARTBEAT"	1738689030	1738689030	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-10-21 12:34	410064	408	0	1	0	""	""	10000152842	3552	"2025-05-28 16:52:41"	"2025-05-28 16:52:41"	"HEARTBEAT"	1745000340	1745000340	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-11-15 11:03	410063	408	0	1	0	"error GPS "	""	10000142549	3552	"2025-02-28 15:23:20"	"2025-02-28 15:23:20"	"HEARTBEAT"	1735990675	1735990675	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-11-15 11:03	410062	408	0	1	0	"fallo iot. no tiene burra"	""	10000128554	3552	"2025-02-28 07:29:58"	"2025-02-28 07:29:58"	"HEARTBEAT"	1707086545	1707086545	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-11-15 11:03	410061	408	0	1	0	"sin luces, ni pantalla ni intermitentes"	"comprobado cableado inferior y superior."	10000139360	3552	"2025-03-01 13:42:47"	"2025-03-01 13:42:47"	"HEARTBEAT"	1715421214	1715421214	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-11-15 11:03	410060	408	0	1	0	"18/12/2024: no responde a ninguna orden excepto el honk (luz del. parpadea) pero no tiene aviso sonoro. Descartado problema del IoT se trata de un fallo del cableado o conectores entre batería y IoT."	""	10000132528	3552	"2025-03-24 15:58:16"	"2025-03-24 15:58:16"	"HEARTBEAT"	1732394165	1732394165	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
